event_id,event_name,event_url,local_date,local_time,utc_datetime,timezone,status,segment,genre,subgenre,artists,venue_name,venue_id,address,city,state,state_code,postal_code,country_code,latitude,longitude,min_price,max_price,currency,image_url
rZ7HnEZ1AfjyZd,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14739003,2026-08-22,14:00:00,2026-08-22T18:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
rZ7HnEZ1Afjz-K,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14738853,2026-08-22,12:00:00,2026-08-22T16:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
rZ7HnEZ1Afjz-S,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14738873,2026-08-22,10:00:00,2026-08-22T14:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
rZ7HnEZ1AfjzJK,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14738993,2026-08-22,15:00:00,2026-08-22T19:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
rZ7HnEZ1AfjzPK,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14738953,2026-08-22,13:00:00,2026-08-22T17:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
rZ7HnEZ1AfjzxK,"Day Out With Thomas (TM), Thomas & Friends",https://www.ticketweb.com/event/day-out-with-thomas-tm-crossroads-village-huckleberry-railroad-tickets/14738893,2026-08-22,11:00:00,2026-08-22T15:00:00Z,America/New_York,offsale,Music,Pop,Pop,Day Out with Thomas; Thomas &  Friends,Crossroads Village & Huckleberry Railroad,rZ7HnEZadfG,6140 Bray Road,Flint,Michigan,MI,48505,US,43.093451354074,-83.651224941324,23.85,27.85,USD,https://s1.ticketm.net/dam/a/144/e3235c11-e05f-4254-8712-6d53ee093144_SOURCE
17u8v0G6ur4ptiu,Sandringham Heritage Live Festival - 5 Day Ticket,https://www.ticketmaster.co.uk/sandringham-heritage-live-festival-5-day-norfolk-19-08-2026/event/350064D7955A9B0D,2026-08-19,,,Europe/London,cancelled,Music,Other,Other,Heritage Live; Janet Jackson; Lionel Richie; Christina Aguilera; Ricky Martin; Eric Clapton,Sandringham Estate,KovZ9177NaV,SANDRINGHAM,Norfolk,,,PE35 6EN,GB,52.82342000,0.49909000,,,,https://s1.ticketm.net/dam/a/fc6/f10bbc42-dd37-4623-a555-921f0afeafc6_SOURCE
vvG1HZ_dQMntxv,Goose Summer 2026 - 2-Day Package,https://www.ticketmaster.com/goose-summer-2026-2day-package-bend-oregon-08-21-2026/event/0F006436B7AA9881,2026-08-21,,,America/Los_Angeles,offsale,Music,Rock,Alternative Rock,Goose; Greensky Bluegrass; Buffalo Traffic Jam,Hayden Homes Amphitheater,KovZpZA1vlIA,344 SW Shevlin-Hixon Drive,Bend,Oregon,OR,97702,US,44.04832800,-121.32152700,,,,https://s1.ticketm.net/dam/a/ff9/230bc504-e335-44b6-9d57-24509c477ff9_TABLET_LANDSCAPE_LARGE_16_9.jpg
G5vVZ_ulUZXYg,Pretty Lights 3 Day Pass,https://www.ticketmaster.com/pretty-lights-3-day-pass-port-chester-new-york-08-21-2026/event/1D0064DAF603EC35,2026-08-21,,,America/New_York,onsale,Music,Pop,Electro Pop,Pretty Lights,The Capitol Theatre,KovZ917Ax6H,149 Westchester Ave,Port Chester,New York,NY,10573,US,41.00134610,-73.66544880,,,,https://s1.ticketm.net/dam/a/01a/fc901fa2-5616-4404-92f3-39fa774fb01a_SOURCE
1AbZkG0GkeyCAzu,The Weeknd: After Hours Til Dawn Tour,https://www.ticketmaster.ie/the-weeknd-after-hours-til-dawn-dublin-22-08-2026/event/18006324B9385E0D,2026-08-22,17:00:00,2026-08-22T16:00:00Z,Europe/London,offsale,Music,Hip-Hop/Rap,Trap,The Weeknd; Playboi Carti,Croke Park,KovZ9177XKV,James Avenue,Dublin,,,3,IE,53.36086568,-6.25101015,,,,https://s1.ticketm.net/dam/a/966/779d1731-4094-4a97-bc16-1341dcb41966_SOURCE
1AsZkuSGkempIQQ,Vans Warped Tour Montréal - 2-jours,https://www.ticketmaster.ca/vans-warped-tour-montreal-2jours-montreal-quebec-08-21-2026/event/31006373AE5A869A,2026-08-21,,,America/Toronto,offsale,Music,Undefined,Undefined,"Vans Warped Tour; A Day To Remember; Acceptance; Agnostic Front; All Time Low; Angel Du$t; Atreyu; Bad Cop Bad Cop; Bearings; Béton Armé; Big Ass Truck; Bigwig; Boston Manor; Bowling for Soup; Cartel; Chase Petra; Chiodos; Comeback Kid; Counterparts; Cross Check; Desecrate; Despised Icon; Drug Church; Escape the Fate; Fair Warning - The Van Halen Experience; Flogging Molly; Four Year Strong; Gob; Good Riddance; Good Sleepy; Hawthorne Heights; Ice Nine Kills; illScarlett; Initiate; Jimmy Eat World; Joyce Manor; Jutes; K-Man and the 45's; letlive; LØLØ; Mad Caddies; Madball; Mayday Parade; Microwave; MxPx; nothing,nowhere.; Of Mice and Men; Origami Angel; Oxymorrons; Peer Pressure; Pennywise; Silverstein; Simple Plan; Sleep Theory; Spike and the Gimme Gimmes; Spite House; Strung Out; Sublime; SUCKERPUNCH; Sudden Waves; Sunami; Taking Back Sunday; The Anti-Queens; The Ataris; The Devil Wears Prada; The Menzingers; The Paradox; The Planet Smashers; The Red Jumpsuit Apparatus; THRICE; Thursday; Yellowcard",Parc Jean Drapeau,KovZpZAa6elA,296 Chemin du Tour de l'isle,Montreal,Quebec,QC,H3C 1A9,CA,45.50642600,-73.52600100,,,,https://s1.ticketm.net/dam/a/4d3/5eec03d8-6acc-477f-8b1d-28c5939274d3_SOURCE
LvZ18Q5ihNrSsX8ZNTR1D,Breakaway Mass 2026,https://www.universe.com/events/breakaway-mass-2026-tickets-3VLQGP?ref=ticketmaster,2026-08-21,16:00:00,2026-08-21T20:00:00Z,America/New_York,onsale,Music,Dance/Electronic,Club Dance,Devault; Effin; Gardella; HILLS; GRYFFIN; INZO; it's murph; Jkyl X Hyde; Know Good; Laszewo; Mojave Grey; No Thanks; OMNOM; Steller; Tsu Nami; Wax Motif; YDG; Crankdat; Excision; Sullivan King; Zedd; Breakaway Music Festival,Palladium Outdoors,KovZpZA6klaA,30 Exchange Street,Worcester,Massachusetts,MA,01608,US,,,,,,https://s1.ticketm.net/dam/a/b5b/c5b756b8-3f1d-47a0-bcf0-02200406bb5b_SOURCE
vv177Z_dGkRMI9g_,CANN PRESENTS: YACHT ROCK REVUE - PRIMETIME - 2 Day Pass,https://www.ticketmaster.com/cann-presents-yacht-rock-revue-primetime-boston-massachusetts-08-21-2026/event/0100643BF7A17D59,2026-08-21,,,America/New_York,onsale,Music,Rock,Pop,Yacht Rock Revue,Leader Bank Pavilion,KovZpZAEAdEA,290 Northern Ave,Boston,Massachusetts,MA,02210,US,42.34851323,-71.03587836,,,,https://s1.ticketm.net/dam/a/fb2/66303d90-c29c-4deb-bb46-d7a929f5bfb2_TABLET_LANDSCAPE_LARGE_16_9.jpg
